"survey_year";"code_country";"code_plot";"date_start";"date_end";"code_sampler";"value"
2012;4;9991;"2012-01-02";"2012-01-30";1;0.2
2012;4;9991;"2012-01-02";"2012-01-30";1;0.21
2012;4;9991;"2012-01-02";"2012-01-30";1;0.24
2012;4;9991;"2012-01-30";"2012-02-27";1;0.91
2012;4;9991;"2012-01-30";"2012-02-27";1;0.88
2012;4;9991;"2012-01-30";"2012-02-27";1;1.14
2012;4;9991;"2012-02-27";"2012-04-02";1;0.57
2012;4;9991;"2012-02-27";"2012-04-02";1;0.52
2012;4;9991;"2012-02-27";"2012-04-02";1;0.57
2012;4;9991;"2012-04-02";"2012-04-30";1;0.36
2012;4;9991;"2012-04-02";"2012-04-30";1;0.33
2012;4;9991;"2012-04-02";"2012-04-30";1;0.34
2012;4;9991;"2012-04-30";"2012-05-29";1;0.72
2012;4;9991;"2012-04-30";"2012-05-29";1;0.7
2012;4;9991;"2012-04-30";"2012-05-29";1;0.7
2012;4;9991;"2012-05-29";"2012-07-02";1;0.4
2012;4;9991;"2012-05-29";"2012-07-02";1;0.42
2012;4;9991;"2012-05-29";"2012-07-02";1;0.42
2012;4;9991;"2012-07-02";"2012-07-30";1;0.51
2012;4;9991;"2012-07-02";"2012-07-30";1;0.5
2012;4;9991;"2012-07-02";"2012-07-30";1;0.52
2012;4;9991;"2012-07-30";"2012-09-03";1;3.93
2012;4;9991;"2012-07-30";"2012-09-03";1;3.43
2012;4;9991;"2012-07-30";"2012-09-03";1;3.79
2012;4;9991;"2012-09-03";"2012-10-01";1;1.18
2012;4;9991;"2012-09-03";"2012-10-01";1;1.43
2012;4;9991;"2012-09-03";"2012-10-01";1;1.35
2012;4;9991;"2012-10-01";"2012-10-30";1;0.73
2012;4;9991;"2012-10-01";"2012-10-30";1;0.67
2012;4;9991;"2012-10-01";"2012-10-30";1;0.64
2012;4;9991;"2012-10-30";"2012-12-03";1;0.82
2012;4;9991;"2012-10-30";"2012-12-03";1;0.69
2012;4;9991;"2012-10-30";"2012-12-03";1;0.68
2012;4;9991;"2012-12-03";"2013-01-02";1;0.5
